Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 485 Juta - Rp 740 Juta,"Kemang, Kab. Bogor",0,0,0,0,Baru
Rp 499 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,1,60,75,Second
Rp 340 Juta - Rp 467 Juta,"Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 774 Juta,"Cimahi Utara, Kota Cimahi",3,2,150,120,Second
"Rp 999 Juta - Rp 1,1 Miliar","Tembalang, Kota Semarang",0,0,0,0,Baru
"Rp 1,2 Miliar","Babelan, Kab. Bekasi",3,2,90,120,Second
Rp 350 Juta - Rp 400 Juta,"Tembalang, Kota Semarang",0,0,0,0,Baru
Rp 890 Juta,"Ngemplak, Kab. Sleman",2,LT 122 m²,LB 80,0,Second
"Rp 1,4 Miliar - Rp 1,8 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 2 Miliar,"Sindang Jaya, Kab. Tangerang",5,4,84,101,Second
"Rp 2,85 Miliar - Rp 2,9 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 2 Miliar,"Sindang Jaya, Kab. Tangerang",4,3,84,0,Second
Rp 973 Juta - Rp 999 Juta,"Cilodong, Kota Depok",0,0,0,0,Baru
"Rp 1,9 Miliar","Curup Utara, Kab. Rejang Lebong",4,3,358,320,Second
"Rp 2,7 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,7 Miliar","Medan Tembung, Kota Medan",3,3,56,138,Second
"Rp 1 Miliar - Rp 1,2 Miliar","Pulogadung (Pulo Gadung), Kota Jakarta Timur",0,0,0,0,Baru
"Rp 1,85 Miliar","Pamulang, Kota Tangerang Selatan",3,2,142,100,Second
"Rp 2,8 Miliar","Cilandak, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 515 Juta,"Tenayan Raya, Kota Pekanbaru",3,2,140,60,Second
"Rp 2,3 Miliar - Rp 4 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 735 Juta,"Bekasi Utara, Kota Bekasi",2,2,60,72,Second
"Rp 1,78 Miliar - Rp 2,24 Miliar","Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
Rp 450 Juta,"Gunung Sindur, Kab. Bogor",2,1,66,60,Second
"Rp 1 Miliar - Rp 2,13 Miliar","Matraman, Kota Jakarta Timur",0,0,0,0,Baru
Rp 490 Juta,"Cileunyi, Kab. Bandung",2,1,LB 64,0,Second
"Rp 1,6 Miliar - Rp 1,7 Miliar","Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,99 Miliar","Rungkut, Kota Surabaya",2,2,200,200,Second
Rp 400 Juta - Rp 900 Juta,"Kedungkandang, Kota Malang",0,0,0,0,Baru
"Rp 2,85 Miliar","Medansatria (Medan Satria), Kota Bekasi",3,3,144,150,Second
Rp 584 Juta - Rp 765 Juta,"Jatiasih, Kota Bekasi",0,0,0,0,Baru
Rp 3 Miliar,"Kramatjati (Kramat Jati), Kota Jakarta Timur",4,4,167,0,Second
"Rp 1,5 Miliar - Rp 2 Miliar","Lakarsantri, Kota Surabaya",0,0,0,0,Baru
Rp 620 Juta,"Bantargebang (Bantar Gebang), Kota Bekasi",2,1,70,38,Second
"Rp 1,7 Miliar - Rp 2,2 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,85 Miliar","Buahbatu (Margacinta), Kota Bandung",3,2,150,100,Second
"Rp 950 Juta - Rp 1,85 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 340 Juta,"Karang Ploso (Karangploso), Kab. Malang",2,1,72,40,Second
"Rp 542,11 Juta - Rp 718,95 Juta","Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 370 Juta,"Sukodono, Kab. Sidoarjo",3,1,90,90,Second
Rp 560 Juta,"Karawaci, Kota Tangerang",0,0,0,0,Baru
Rp 100 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,72,39,Second
Rp 450 Juta - Rp 465 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",0,0,0,0,Baru
"Rp 1,5 Miliar","Bojongsoang, Kab. Bandung",3,2,88,94,Second
"Rp 1,2 Miliar - Rp 1,55 Miliar","Cipayung, Kota Depok",0,0,0,0,Baru
Rp 550 Juta,"Karawang Timur, Kab. Karawang",4,3,55,0,Second
"Rp 900 Juta - Rp 1,16 Miliar","Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 6,5 Miliar","Ciputat Timur, Kota Tangerang Selatan",6,4,600,0,Second
"Rp 1,5 Miliar - Rp 4,3 Miliar","Jatinegara, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 2,5 Miliar","Gunung Putri, Kab. Bogor",3,2,LB 250,0,Second
"Rp 458,56 Juta - Rp 538,89 Juta","Cibitung, Kab. Bekasi",0,0,0,0,Baru
Rp 350 Juta,"Klari, Kab. Karawang",2,LT 66 m²,LB 38,0,Second
Rp 390 Juta - Rp 630 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 8,5 Miliar","Cilandak, Kota Jakarta Selatan",3,1,440,150,Second
Rp 358 Juta - Rp 399 Juta,"Babelan, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,35 Miliar","Gedebage, Kota Bandung",4,3,132,130,Second
Rp 757 Juta,"Beji, Kota Depok",0,0,0,0,Baru
"Rp 1,5 Miliar","Bekasi Barat, Kota Bekasi",3,1,206,90,Second
Rp 660 Juta - Rp 960 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 3,3 Miliar","Gunung Putri, Kab. Bogor",5,4,200,300,Second
Rp 350 Juta - Rp 425 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 2,8 Miliar","Gunung Putri, Kab. Bogor",4,4,180,200,Second
Rp 700 Juta - Rp 900 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",0,0,0,0,Baru
Rp 265 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,51,51,Second
Rp 156 Juta - Rp 835 Juta,"Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 365 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,71,50,Second
Rp 382 Juta - Rp 462 Juta,"Cileungsi, Kab. Bogor",0,0,0,0,Baru
"Rp 2,85 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,3,144,210,Second
Rp 540 Juta - Rp 664 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,6 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,2,182,150,Second
Rp 410 Juta - Rp 620 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
Rp 695 Juta,"Bekasi Utara, Kota Bekasi",3,1,LB 47,0,Second
Rp 398 Juta - Rp 600 Juta,"Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 230 Juta,"Sukatani, Kab. Bekasi",2,1,60,43,Second
"Rp 743 Juta - Rp 1,35 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 14,9 Miliar","Klojen, Kota Malang",3,LT 515 m²,LB 258,0,Second
Rp 400 Juta - Rp 874 Juta,"Bogor Selatan, Kota Bogor",0,0,0,0,Baru
"Rp 1,6 Miliar","Ciputat, Kota Tangerang Selatan",3,3,72,75,Second
"Rp 890 Juta - Rp 1,27 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 444,12 Juta","Tajurhalang, Kab. Bogor",2,1,65,36,Second
"Rp 1,14 Miliar - Rp 1,28 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 6,5 Miliar","Cidadap, Kota Bandung",7,6,500,631,Second
"Rp 1 Miliar - Rp 1,85 Miliar","Sawangan, Kota Depok",0,0,0,0,Baru
Rp 670 Juta,"Purwokerto Utara, Kab. Banyumas",4,1,140,96,Second
"Rp 1,2 Miliar - Rp 2 Miliar","Sukmajaya, Kota Depok",0,0,0,0,Baru
Rp 990 Juta,"Babakan Madang, Kab. Bogor",2,2,120,70,Second
Rp 797 Juta - Rp 874 Juta,"Tambun Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 3,3 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,3,170,157,Second
Rp 200 Juta - Rp 500 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 950 Juta,"Pamulang, Kota Tangerang Selatan",3,1,100,100,Second
"Rp 1,36 Miliar - Rp 1,51 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 900 Juta,"Beji, Kota Depok",3,2,53,70,Second
"Rp 381,8 Juta - Rp 522 Juta","Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 3,5 Miliar","Cakung, Kota Jakarta Timur",4,LT 228 m²,LB 200,0,Second
Rp 500 Juta - Rp 800 Juta,"Cikupa, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,6 Miliar","Pagedangan, Kab. Tangerang",3,2,60,72,Second
Rp 450 Juta - Rp 500 Juta,"Cilodong, Kota Depok",0,0,0,0,Baru
Rp 650 Juta,"Gamping, Kab. Sleman",2,1,87,80,Second
Rp 395 Juta - Rp 600 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
Rp 625 Juta,"Tapos, Kota Depok",2,2,50,50,Second
"Rp 1,2 Miliar - Rp 1,9 Miliar","Gayamsari, Kota Semarang",0,0,0,0,Baru
"Rp 2,3 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,LT 144 m²,LB 157,0,Second
Rp 399 Juta - Rp 799 Juta,"Sukaraja, Kab. Bogor",0,0,0,0,Baru
"Rp 2,3 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,3,144,157,Second
"Rp 410,3 Juta - Rp 620,33 Juta","Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
Rp 900 Juta,"Sawahan, Kota Surabaya",3,1,140,140,Second
"Rp 895 Juta - Rp 1,25 Miliar","Banyumanik, Kota Semarang",0,0,0,0,Baru
"Rp 17,5 Miliar","Pakal, Kota Surabaya",6,2,90,200,Second
"Rp 695 Juta - Rp 1,09 Miliar","Cileungsi, Kab. Bogor",0,0,0,0,Baru
"Rp 1,8 Miliar","Lakarsantri, Kota Surabaya",3,2,102,140,Second
Rp 3 Miliar - Rp 6 Miliar,"Pagedangan, Kab. Tangerang",0,0,0,0,Baru
Rp 750 Juta,"Jebres, Kota Surakarta",6,3,101,110,Second
"Rp 261,9 Juta - Rp 315,7 Juta","Ciampea, Kab. Bogor",0,0,0,0,Baru
Rp 1 Miliar,"Cengkareng, Kota Jakarta Barat",2,LT 56 m²,LB 100,0,Second
Rp 250 Juta - Rp 375 Juta,"Ciampea, Kab. Bogor",0,0,0,0,Baru
"Rp 3,5 Miliar","Kelapa Gading, Kota Jakarta Utara",4,3,LB 210,0,Second
Rp 540 Juta - Rp 800 Juta,"Tangerang, Kota Tangerang",0,0,0,0,Baru
"Rp 3,39 Miliar","Grogol Petamburan, Kota Jakarta Barat",4,5,90,160,Second
Rp 465 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 6,4 Miliar","Duren Sawit, Kota Jakarta Timur",5,3,380,350,Second
Rp 575 Juta - Rp 766 Juta,"Tapos, Kota Depok",0,0,0,0,Baru
Rp 535 Juta,"Dau, Kab. Malang",2,1,LB 53,0,Second
Rp 765 Juta - Rp 865 Juta,"Tapos, Kota Depok",0,0,0,0,Baru
Rp 635 Juta,"Dau, Kab. Malang",4,2,77,82,Second
"Rp 936 Juta - Rp 1,08 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
Rp 20 Miliar,"Wonocolo, Kota Surabaya",1,3,589,794,Second
Rp 559 Juta - Rp 980 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 2,89 Miliar","Pesanggrahan, Kota Jakarta Selatan",4,4,80,160,Second
"Rp 616,8 Juta - Rp 761,8 Juta","Kalideres, Kota Jakarta Barat",0,0,0,0,Baru
"Rp 4,8 Miliar","Pagedangan, Kab. Tangerang",3,2,153,181,Second
Rp 770 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,4 Miliar","Kuta Utara, Kab. Badung",2,2,LB 200,0,Second
Rp 485 Juta - Rp 665 Juta,"Cibitung, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,85 Miliar","Bekasi Utara, Kota Bekasi",3,2,96,180,Second
"Rp 2,9 Miliar - Rp 5,05 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 2,5 Miliar","Bekasi Utara, Kota Bekasi",5,4,104,118,Second
Rp 530 Juta - Rp 605 Juta,"Tambun Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,3 Miliar","Pondok Aren, Kota Tangerang Selatan",2,2,90,85,Second
Rp 890 Juta - Rp 935 Juta,"Tambun Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 4,5 Miliar","Tebet, Kota Jakarta Selatan",4,4,LB 180,0,Second
"Rp 1,4 Miliar - Rp 1,6 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,1 Miliar","Pondok Aren, Kota Tangerang Selatan",5,LT 180 m²,LB 285,0,Second
Rp 480 Juta - Rp 663 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 400 Juta,"Buduran, Kab. Sidoarjo",2,1,78,36,Second
"Rp 1,26 Miliar - Rp 2,12 Miliar","Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,55 Miliar","Jebres, Kota Surakarta",2,1,269,26,Second
"Rp 815 Juta - Rp 1,32 Miliar","Bekasi Utara, Kota Bekasi",0,0,0,0,Baru
Rp 600 Juta,"Cileunyi, Kab. Bandung",3,1,130,54,Second
Rp 490 Juta - Rp 550 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 1,3 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,3,84,0,Second
"Rp 873 Juta - Rp 1,2 Miliar","Pondokmelati (Pondok Melati), Kota Bekasi",0,0,0,0,Baru
"Rp 2,5 Miliar","Kelapa Dua, Kab. Tangerang",3,2,120,200,Second
"Rp 1,38 Miliar - Rp 2,08 Miliar","Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 1,57 Miliar","Antapani (Cicadas), Kota Bandung",3,2,154,64,Second
"Rp 1,6 Miliar","Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 800 Juta,"Jagakarsa, Kota Jakarta Selatan",3,2,52,90,Second
Rp 398 Juta,"Gunung Putri, Kab. Bogor",0,0,0,0,Baru
"Rp 2,3 Miliar","Jagakarsa, Kota Jakarta Selatan",5,2,123,160,Second
Rp 625 Juta - Rp 750 Juta,"Pancoran Mas, Kota Depok",0,0,0,0,Baru
"Rp 1,65 Miliar","Pondok Aren, Kota Tangerang Selatan",2,2,75,0,Second
"Rp 1,6 Miliar - Rp 1,7 Miliar","Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 8,75 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",6,3,524,343,Second
Rp 600 Juta - Rp 635 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 950 Juta,"Pasar Rebo, Kota Jakarta Timur",2,2,64,52,Second
"Rp 750 Juta - Rp 1,2 Miliar","Bogor Barat, Kota Bogor",0,0,0,0,Baru
Rp 15 Miliar,"Mampang Prapatan, Kota Jakarta Selatan",4,LT 704 m²,LB 945,0,Second
Rp 584 Juta - Rp 823 Juta,"Cikarang Utara, Kab. Bekasi",0,0,0,0,Baru
Rp 250 Juta,"Sepatan Timur, Kab. Tangerang",2,1,60,30,Second
Rp 588 Juta - Rp 980 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 399 Juta,"Cileungsi, Kab. Bogor",2,1,90,43,Second
"Rp 566,7 Juta - Rp 1,07 Miliar","Bogor Selatan, Kota Bogor",0,0,0,0,Baru
Rp 600 Juta,"Cisauk, Kab. Tangerang",2,1,60,45,Second
Rp 590 Juta - Rp 840 Juta,"Pancoran Mas, Kota Depok",0,0,0,0,Baru
Rp 550 Juta,"Cileunyi, Kab. Bandung",2,LT 70 m²,LB 55,0,Second
"Rp 3,3 Miliar - Rp 3,38 Miliar","Beji, Kota Depok",0,0,0,0,Baru
Rp 380 Juta,"Tembalang, Kota Semarang",3,1,72,56,Second
"Rp 1,1 Miliar - Rp 1,35 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
Rp 490 Juta,"Parongpong, Kab. Bandung Barat",2,1,74,70,Second
"Rp 1,1 Miliar - Rp 1,9 Miliar","Beji, Kota Depok",0,0,0,0,Baru
"Rp 3,9 Miliar","Tanjung Priok, Kota Jakarta Utara",4,5,96,336,Second
Rp 457 Juta - Rp 480 Juta,"Parung, Kab. Bogor",0,0,0,0,Baru
"Rp 1,3 Miliar","Gunung Sindur, Kab. Bogor",2,1,60,73,Second
Rp 550 Juta - Rp 627 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 600 Juta,"Serpong, Kota Tangerang Selatan",2,1,60,36,Second
"Rp 3,5 Miliar - Rp 3,7 Miliar","Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 475 Juta,"Bekasi Timur, Kota Bekasi",8,1,66,50,Second
"Rp 1 Miliar - Rp 2,9 Miliar","Dramaga, Kab. Bogor",0,0,0,0,Baru
"Rp 2,25 Miliar","Waru, Kab. Sidoarjo",6,3,272,250,Second
Rp 300 Juta - Rp 450 Juta,"Tambun Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 450 Juta,"Karawang Timur, Kab. Karawang",2,2,84,36,Second
Rp 480 Juta - Rp 577 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 833 Juta,"Ciracas, Kota Jakarta Timur",3,2,LB 70,0,Second
"Rp 1,2 Miliar - Rp 1,3 Miliar","Sukmajaya, Kota Depok",0,0,0,0,Baru
Rp 780 Juta,"Purwokerto Timur, Kab. Banyumas",2,1,114,60,Second
"Rp 1,15 Miliar - Rp 1,55 Miliar","Cipayung, Kota Depok",0,0,0,0,Baru
"Rp 1,95 Miliar","Padalarang, Kab. Bandung Barat",2,LT 126 m²,LB 120,0,Second
"Rp 827 Juta - Rp 1,45 Miliar","Cileungsi, Kab. Bogor",0,0,0,0,Baru
"Rp 1,2 Miliar","Setu, Kota Tangerang Selatan",3,2,105,72,Second
Rp 290 Juta - Rp 573 Juta,"Ciomas, Kab. Bogor",0,0,0,0,Baru
Rp 949 Juta,"Sepatan, Kab. Tangerang",4,4,140,90,Second
Rp 420 Juta - Rp 437 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 655 Juta,"Pancoran Mas, Kota Depok",2,2,LB 100,0,Second
Rp 895 Juta - Rp 902 Juta,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 6,7 Miliar","Curug, Kab. Tangerang",5,5,452,500,Second
Rp 715 Juta - Rp 1 Miliar,"Panongan, Kab. Tangerang",0,0,0,0,Baru
Rp 600 Juta,"Pamulang, Kota Tangerang Selatan",2,2,90,65,Second
Rp 500 Juta - Rp 740 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 2,3 Miliar","Luwuk Selatan, Kab. Banggai",4,4,603,301,Second
"Rp 450 Juta - Rp 665,1 Juta","Gunung Sindur, Kab. Bogor",0,0,0,0,Baru
"Rp 267,75 Miliar","Menteng, Kota Jakarta Pusat",1,1,2.975,200,Second
"Rp 354,4 Juta - Rp 431,5 Juta","Gunung Sindur, Kab. Bogor",0,0,0,0,Baru
Rp 350 Juta,"Beji, Kota Depok",2,1,44,36,Second
"Rp 767,38 Juta - Rp 1,04 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
"Rp 713,9 Juta","Cempaka Putih, Kota Jakarta Pusat",2,2,27,43,Second
"Rp 751 Juta - Rp 1,23 Miliar","Cileungsi, Kab. Bogor",0,0,0,0,Baru
Rp 445 Juta,"Tarumajaya, Kab. Bekasi",2,1,LB 50,0,Second
"Rp 910 Juta - Rp 1,26 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
Rp 465 Juta,"Babelan, Kab. Bekasi",2,1,72,36,Second
Rp 217 Juta - Rp 495 Juta,"Singosari, Kab. Malang",0,0,0,0,Baru
Rp 800 Juta,"Pancoran Mas, Kota Depok",2,1,72,47,Second
"Rp 914 Juta - Rp 1,34 Miliar","Cibinong, Kab. Bogor",0,0,0,0,Baru
"Rp 1,9 Miliar","Kelapa Gading, Kota Jakarta Utara",3,2,60,90,Second
"Rp 256,8 Juta - Rp 280,8 Juta","Ciampea, Kab. Bogor",0,0,0,0,Baru
Rp 200 Juta,"Baleendah, Kab. Bandung",2,1,60,0,Second
"Rp 917,5 Juta - Rp 1,19 Miliar","Bekasi Utara, Kota Bekasi",0,0,0,0,Baru
Rp 103 Miliar,"Pondok Aren, Kota Tangerang Selatan",6,4,424,250,Second
"Rp 460 Juta - Rp 696,7 Juta","Dramaga, Kab. Bogor",0,0,0,0,Baru
"Rp 2,4 Miliar","Cakung, Kota Jakarta Timur",4,3,160,180,Second
Rp 700 Juta - Rp 900 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
"Rp 3,5 Miliar","Serpong Utara, Kota Tangerang Selatan",5,3,LB 210,0,Second
"Rp 1,14 Miliar - Rp 1,5 Miliar","Pancoran Mas, Kota Depok",0,0,0,0,Baru
Rp 495 Juta,"Ngamprah, Kab. Bandung Barat",2,2,71,45,Second
Rp 850 Juta - Rp 851 Juta,"Ciomas, Kab. Bogor",0,0,0,0,Baru
"Rp 4,6 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,5,200,150,Second
Rp 560 Juta - Rp 700 Juta,"Cilodong, Kota Depok",0,0,0,0,Baru
Rp 725 Juta,"Kosambi, Kab. Tangerang",3,2,150,150,Second
Rp 515 Juta - Rp 715 Juta,"Pajangan, Kab. Bekasi",0,0,0,0,Baru
"Rp 3,3 Miliar","Cinere, Kota Depok",4,4,150,0,Second
"Rp 1 Miliar - Rp 1,2 Miliar","Limo, Kota Depok",0,0,0,0,Baru
"Rp 2,58 Miliar","Bekasi Barat, Kota Bekasi",3,3,90,110,Second
"Rp 845 Juta - Rp 1,4 Miliar","Limo, Kota Depok",0,0,0,0,Baru
Rp 575 Juta,"Babelan, Kab. Bekasi",3,2,60,0,Second
Rp 675 Juta - Rp 747 Juta,"Jatiasih, Kota Bekasi",0,0,0,0,Baru
Rp 599 Juta,"Arcamanik, Kota Bandung",2,1,68,40,Second
"Rp 790,81 Juta - Rp 845,98 Juta","Batuceper, Kota Tangerang",0,0,0,0,Baru
"Rp 1,2 Miliar","Ciputat, Kota Tangerang Selatan",3,2,72,0,Second
"Rp 335 Juta - Rp 1,47 Miliar","Cikalongwetan (Cikalong Wetan), Kab. Bandung Barat",3,2-3,50 - 100,32 - 120,Baru
"Rp 1,67 Miliar","Ciputat, Kota Tangerang Selatan",4,4,75,0,Second
"Rp 1,6 Miliar - Rp 3 Miliar","Ciputat Timur, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,05 Miliar","Serpong, Kota Tangerang Selatan",4,3,180,207,Second
"Rp 1,19 Miliar - Rp 1,39 Miliar","Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 325 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",1,LT 61 m²,LB 45,0,Second
"Rp 1,2 Miliar - Rp 1,53 Miliar","Cisauk, Kab. Tangerang",0,0,0,0,Baru
Rp 550 Juta,"Alam Barajo, Kota Jambi",2,1,90,95,Second
"Rp 495 Juta - Rp 498,7 Juta","Bojongsari, Kota Depok",2,1,83,21,Baru
"Rp 2,5 Miliar","Sukajadi, Kota Bandung",4,3,160,320,Second
"Rp 1,45 Miliar - Rp 1,96 Miliar","Tegalrejo, Kota Yogyakarta",0,0,0,0,Baru
Rp 2 Miliar,"Sindang Jaya, Kab. Tangerang",3,3,200,170,Second
"Rp 950 Juta - Rp 1,39 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
"Rp 1,14 Miliar","Rawalumbu, Kota Bekasi",3,2,67,67,Second
"Rp 1,18 Miliar - Rp 1,21 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
Rp 560 Juta,"Sedati, Kab. Sidoarjo",2,1,91,40,Second
Rp 500 Juta - Rp 580 Juta,"Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 3,8 Miliar","Duren Sawit, Kota Jakarta Timur",9,8,247,420,Second
Rp 500 Juta - Rp 580 Juta,"Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
Rp 825 Juta,"Bogor Barat, Kota Bogor",2,2,72,0,Second
"Rp 1,6 Miliar - Rp 1,8 Miliar","Beji, Kota Depok",0,0,0,0,Baru
"Rp 1,29 Miliar","Batam Kota, Kota Batam",3,2,90,0,Second
"Rp 421,17 Juta - Rp 552,93 Juta","Jatiasih, Kota Bekasi",2,1,50 - 63,32 - 38,Baru
Rp 2 Miliar,"Kalidoni, Kota Palembang",4,2,128,150,Second
Rp 575 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 1,5 Miliar","Kalidoni, Kota Palembang",3,3,128,144,Second
"Rp 436,97 Juta - Rp 650,08 Juta","Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
Rp 450 Juta,"Periuk, Kota Tangerang",1,1,157,45,Second
Rp 369 Juta - Rp 506 Juta,"Dramaga, Kab. Bogor",0,0,0,0,Baru
Rp 750 Juta,"Sukarami, Kota Palembang",3,2,105,100,Second
Rp 240 Juta - Rp 467 Juta,"Ciampea, Kab. Bogor",0,0,0,0,Baru
"Rp 1,8 Miliar","Medan Johor, Kota Medan",14,9,289,332,Second
Rp 627 Juta - Rp 657 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
Rp 700 Juta,"Sukaraja, Kab. Bogor",2,2,161,88,Second
"Rp 733,36 Juta","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 725 Juta,"Cimanggis, Kota Depok",3,2,121,121,Second
Rp 280 Juta - Rp 350 Juta,"Cileungsi, Kab. Bogor",0,0,0,0,Baru
"Rp 12,5 Miliar","Pakem, Kab. Sleman",10,12,3.100,1.500,Second
"Rp 1,32 Miliar - Rp 2,06 Miliar","Ciracas, Kota Jakarta Timur",3,2,66,86,Baru
"Rp 3,1 Miliar","Sukomanunggal, Kota Surabaya",3,3,240,200,Second
Rp 690 Juta - Rp 699 Juta,"Tapos, Kota Depok",0,0,0,0,Baru
Rp 475 Juta,"Cangkuang, Kab. Bandung",3,LT 100 m²,LB 120,0,Second
Rp 495 Juta - Rp 527 Juta,"Tapos, Kota Depok",0,0,0,0,Baru
Rp 880 Juta,"Ngemplak, Kab. Sleman",4,2,LB 90,0,Second
"Rp 330,5 Juta - Rp 638,95 Juta","Gunung Sindur, Kab. Bogor",0,0,0,0,Baru
Rp 700 Juta,"Mlati, Kab. Sleman",3,2,98,65,Second
Rp 460 Juta - Rp 590 Juta,"Dramaga, Kab. Bogor",2-3,1-2,60,36 - 62,Baru
Rp 870 Juta,"Medan Baru, Kota Medan",3,3,72,80,Second
"Rp 975 Juta - Rp 1,13 Miliar","Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 1,75 Miliar","Pondok Aren, Kota Tangerang Selatan",3,3,LB 109,0,Second
"Rp 1,08 Miliar - Rp 1,15 Miliar","Cilodong, Kota Depok",0,0,0,0,Baru
